sample,label,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,circadian phase by fit,phase to DW,circadian phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,circadian phase method specific,phase to DW,circadian phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,circadian phase by averaged peaks,phase to DW,circadian phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,circadian phase by first peak,phase to DW,circadian phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR
39. [AN],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.8,0,23.99,23.21612903,2.39,2.312903226,0,75518,0,23.99,23.21612903,2.39,2.312903226,0,75518,0,22.45,21.72580645,0.85,0.822580645,0.707107,75501,39975,22.7,21.96774194,1.1,1.064516129,0,61368,0,0.45608,0.45608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40. [AO],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.7,0,17.52,15.74831461,1.62,1.456179775,0,45034,0,17.52,15.74831461,1.62,1.456179775,0,45034,0,16.95,15.23595506,1.05,0.943820225,0.989949,37954,19267,16.6,14.92134831,0.7,0.629213483,0,31142,0,0.707938,0.707938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41. [AP],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.3,0,3.72,3.674074074,4.92,4.859259259,0,49179,0,3.72,3.674074074,4.92,4.859259259,0,49179,0,2.85,2.814814815,4.05,4,0.141421,49590,10880,2.9,2.864197531,4.1,4.049382716,0,45743,0,0.421962,0.421962
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42. [AQ],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.42,0,1.7,1.670761671,3.38,3.321867322,0,57876,0,1.7,1.670761671,3.38,3.321867322,0,57876,0,24.01,23.5970516,1.27,1.248157248,0.028284,54476,24978,0.7,0.687960688,2.38,2.339066339,0,47610,0,0.58358,0.58358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43. [AR],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.6,0,23.54,22.06875,4.34,4.06875,0,92820,0,23.54,22.06875,4.34,4.06875,0,92820,0,21.7,20.34375,2.5,2.34375,3.394,101494,19453,22.9,21.46875,3.7,3.46875,0,94616,0,0.243101,0.243101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44. [AS],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.08,0,1.72,1.714285714,2.04,2.033222591,0,296425,0,1.72,1.714285714,2.04,2.033222591,0,296425,0,0.91,0.906976744,1.23,1.225913621,0.028284,307248,18730,0.9,0.897009967,1.22,1.215946844,0,313870,0,0.352252,0.352252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45. [AT],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.54,0,18.28,16.53051997,1.9,1.718161266,0,82508,0,18.28,16.53051997,1.9,1.718161266,0,82508,0,17.74,16.04220045,1.36,1.229841748,0.282843,91616,591,17.84,16.13262999,1.46,1.320271289,0,91895,0,0.569794,0.569794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46. [AU],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.7,0,6.06,6.136708861,4.86,4.921518987,0,114026,0,6.06,6.136708861,4.86,4.921518987,0,114026,0,5,5.063291139,3.8,3.848101266,0.282843,93604,19419,5.1,5.164556962,3.9,3.949367089,0,86738,0,0.531824,0.531824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47. [AV],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.88,0,5.6,5.628140704,5.12,5.145728643,0,63099,0,5.6,5.628140704,5.12,5.145728643,0,63099,0,4.74,4.763819095,4.26,4.281407035,0.113137,64273,20154,4.78,4.804020101,4.3,4.32160804,0,57148,0,0.434901,0.434901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48. [AW],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.26,0,17.57,16.05788271,0.35,0.319878142,0,198931,0,17.57,16.05788271,0.35,0.319878142,0,198931,0,17.71,16.18583397,0.49,0.447829398,2.687,214541,20684,16.76,15.3175933,25.8,23.57958873,0,221854,0,0.622204,0.622204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49. [AX],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.98,0,4.71,4.713928274,4.63,4.633861551,0,72075,0,4.71,4.713928274,4.63,4.633861551,0,72075,0,4.04,4.043369475,3.96,3.963302752,0.678823,72558,19395,4.28,4.283569641,4.2,4.203502919,0,65701,0,0.428329,0.428329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50. [AY],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.04,0,4.78,4.772046589,4.94,4.931780366,0,41249,0,4.78,4.772046589,4.94,4.931780366,0,41249,0,4.47,4.462562396,4.63,4.622296173,0.763675,34406,3865,4.74,4.732113145,4.9,4.891846922,0,33040,0,0.447652,0.447652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51. [AZ],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.54,0,6.48,6.606627018,4.64,4.730671198,0,185405,0,6.48,6.606627018,4.64,4.730671198,0,185405,0,5.87,5.984706882,4.03,4.108751062,0.480833,174531,23193,6.04,6.158028887,4.2,4.282073067,0,166331,0,0.436858,0.436858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52. [BA],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,27.4,0,13.4,11.73722628,27,23.64963504,0,130675,0,13.4,11.73722628,27,23.64963504,0,130675,0,10.3,9.02189781,23.9,20.93430657,5.091,194026,2979,12.1,10.59854015,25.7,22.51094891,0,195079,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53. [BB],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.62,0,0.97,0.945572705,3.45,3.363119415,0,149258,0,0.97,0.945572705,3.45,3.363119415,0,149258,0,1.21,1.179528838,3.69,3.597075548,2.008,132860,50223,1.92,1.871649066,4.4,4.289195776,0,115103,0,0.509805,0.509805
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54. [BC],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.18,0,23.51,22.40826052,3.05,2.907069102,0,35755,0,23.51,22.40826052,3.05,2.907069102,0,35755,0,22.63,21.5694996,2.17,2.068308181,2.404,35297,16716,23.48,22.3796664,3.02,2.87847498,0,32638,0,0.437145,0.437145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55. [BD],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.18,0,4,3.970223325,4.72,4.684863524,0,84036,0,4,3.970223325,4.72,4.684863524,0,84036,0,3.94,3.910669975,4.66,4.625310174,0.961665,66420,42098,4.28,4.248138958,5,4.962779156,0,51536,0,0.52535,0.52535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
