Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR
87. [CJ],WT:TOC1,,,21.89,0.93,,4.05,18.79,6.32,3.69,17.14,5.76,,44253,7511,,0.17,0.18
88. [CK],WT:TOC1,,,23.01,0.51,,21.28,17.15,4.49,20.4,16.44,4.3,,60792,8379,,0.19,0.14
89. [CL],WT:TOC1,,,23.5,0.56,,18.9,16.86,3.39,18.51,16.51,3.32,,61468,11411,,0.25,0.18
90. [CM],WT:TOC1,,,23.49,0.35,,19.08,16.99,2.09,18.67,16.63,2.05,,71078,8728,,0.17,0.12
91. [CN],WT:TOC1,,,23.74,0.64,,16.65,15.6,3.87,16.47,15.43,3.83,,75700,13107,,0.28,0.17
92. [CO],WT:TOC1,,,23.2,0.43,,20.53,17.22,2.63,19.85,16.65,2.54,,46025,6254,,0.19,0.14
93. [CP],WT:TOC1,,,23.96,0.98,,17.01,16.85,5.82,16.98,16.82,5.81,,59133,14223,,0.37,0.23
94. [CQ],WT:TOC1,,,23.71,0.79,,18.18,17.01,4.86,17.96,16.8,4.8,,28887,8000,,0.42,0.28
95. [CR],WT:TOC1,,,23.33,0.54,,20.04,17.28,3.25,19.48,16.8,3.16,,69144,11810,,0.23,0.17
96. [CS],WT:TOC1,,,22.53,0.44,,0.26,17.99,3.56,0.24,16.89,3.34,,43334,6247,,0.23,0.14
97. [CT],WT:TOC1,,,23.62,1.28,,19.72,18.18,7.69,19.41,17.89,7.57,,51710,15971,,0.61,0.31
98. [CU],WT:TOC1,,,24.49,0.61,,14.74,16.66,3.23,15.04,17,3.29,,43713,6613,,0.21,0.15
99. [CV],WT:TOC1,,,23.21,0.44,,20.66,17.39,2.71,19.98,16.82,2.62,,54412,7994,,0.2,0.15
100. [CW],WT:TOC1,,,22.1,0.8,,3.24,18.98,5.57,2.98,17.48,5.13,,10631,2438,,0.46,0.23
101. [CX],WT:TOC1,,,22.13,0.91,,3.37,19.26,6.16,3.11,17.76,5.68,,14261,3997,,0.46,0.29
102. [CY],WT:TOC1,,,24.01,1.06,,17.12,17.16,6.27,17.13,17.17,6.27,,32360,8449,,0.4,0.25
103. [CZ],WT:TOC1,,,23.79,0.73,,18.43,17.58,4.4,18.27,17.43,4.36,,31963,9465,,0.43,0.29
104. [DA],WT:TOC1,,,21.72,0.83,,4.67,18.6,5.71,4.23,16.83,5.17,,14805,4055,,0.45,0.28
105. [DB],WT:TOC1,,,24.29,0.53,,17.24,18.39,3,17.45,18.61,3.03,,31613,4351,,0.19,0.13
106. [DC],WT:TOC1,,,23.59,1.21,,17.73,16.06,7.41,17.43,15.79,7.29,,19360,7208,,0.43,0.39
107. [DD],WT:TOC1,,,23.93,0.84,,17.57,17.29,5.08,17.52,17.24,5.06,,53296,12386,,0.36,0.23
108. [DE],WT:TOC1,,,23.6,0.81,,18.38,16.75,4.99,18.07,16.47,4.9,,38573,9740,,0.39,0.25
109. [DF],WT:TOC1,,,23.39,0.9,,20.16,17.66,5.54,19.65,17.21,5.4,,26510,7430,,0.44,0.29
110. [DG],WT:TOC1,,,23.77,0.53,,18.2,17.28,3.24,18.03,17.11,3.21,,25715,4682,,0.24,0.19
111. [DH],WT:TOC1,,,24.59,0.79,,15.02,17.32,4.51,15.39,17.75,4.62,,42097,8360,,0.31,0.2
112. [DI],WT:TOC1,,,25.42,0.51,,11.47,16.83,2.54,12.15,17.83,2.69,,71909,9800,,0.2,0.13
113. [DJ],WT:TOC1,,,23.49,0.18,,18.87,16.79,0.17,18.47,16.43,0.17,,69970,3264,,0.05,0.05
114. [DK],WT:TOC1,,,23.17,0.43,,20.4,16.96,2.64,19.69,16.37,2.55,,108329,15760,,0.19,0.15
115. [DL],WT:TOC1,,,23.63,0.78,,17.15,15.65,4.75,16.89,15.41,4.68,,132472,34862,,0.41,0.26
116. [DM],WT:TOC1,,,24.06,0.89,,15.94,16.18,5.32,15.98,16.22,5.34,,57110,11713,,0.33,0.21
117. [DN],WT:TOC1,,,23.13,0.4,,21.08,17.47,2.44,20.32,16.84,2.35,,56973,7674,,0.18,0.13
118. [DO],WT:TOC1,,,22.31,0.93,,2.35,19.07,5.8,2.18,17.73,5.39,,10700,3220,,0.46,0.31
119. [DP],WT:TOC1,,,22.59,0.68,,23.73,17.74,4.34,22.34,16.7,4.08,,59672,10536,,0.37,0.18
120. [DQ],WT:TOC1,,,22.93,0.74,,22.47,17.99,4.57,21.47,17.19,4.36,,35842,8745,,0.39,0.24
121. [DR],WT:TOC1,,,23.55,0.73,,18.3,16.47,4.37,17.96,16.16,4.29,,51524,11404,,0.3,0.22
122. [DS],WT:TOC1,,,22.8,0.58,,22.26,17.21,3.7,21.15,16.35,3.51,,35815,7576,,0.33,0.21
123. [DT],WT:TOC1,,,23.18,0.87,,21.38,17.98,5.1,20.65,17.37,4.92,,30187,7479,,0.27,0.28
124. [DU],WT:TOC1,,,22.19,0.74,,1.69,17.86,4.96,1.56,16.51,4.59,,24248,5448,,0.3,0.23
125. [DV],WT:TOC1,,,22.76,0.97,,0.25,19.02,5.92,0.24,18.04,5.61,,7069,2329,,0.49,0.33
126. [DW],WT:TOC1,,,23.62,0.35,,18.18,16.63,2.17,17.89,16.37,2.14,,95488,11781,,0.16,0.12
127. [DX],WT:TOC1,,,22.39,1,,0.33,17.43,6.42,0.31,16.26,5.99,,46312,12056,,0.53,0.26
128. [DY],WT:TOC1,,,23.21,0.66,,20.08,16.81,4.03,19.42,16.26,3.9,,94174,18609,,0.33,0.2
129. [DZ],WT:TOC1,,,23.31,0.85,,20.01,17.16,5.22,19.43,16.67,5.07,,60367,12520,,0.41,0.21
130. [EA],WT:TOC1,,,23.31,0.64,,19.75,16.91,4.04,19.18,16.42,3.92,,100136,21371,,0.35,0.21
131. [EB],WT:TOC1,,,23.4,1.05,,19.6,17.14,6.25,19.11,16.71,6.1,,25162,7917,,0.49,0.31
132. [EC],WT:TOC1,,,23.36,0.59,,19.86,17.23,3.63,19.33,16.77,3.53,,43846,8864,,0.27,0.2
133. [ED],WT:TOC1,,,23.07,0.84,,21.13,17.26,5.21,20.31,16.59,5.01,,54118,11480,,0.44,0.21
134. [EE],WT:TOC1,,,23.31,0.61,,19.99,17.15,3.72,19.42,16.66,3.61,,75271,14605,,0.31,0.19
135. [EF],WT:TOC1,,,23.26,0.34,,19.39,16.33,2.15,18.79,15.83,2.08,,100609,10194,,0.14,0.1
136. [EG],WT:TOC1,,,24.43,2.52,,0.06,1.75,12.47,0.06,1.78,12.69,,46880,30886,,0.6,0.67
137. [EH],WT:TOC1,,,25.21,1.09,,23.1,3.7,5.52,24.26,3.89,5.79,,130277,26205,,0.32,0.2
138. [EI],WT:TOC1,,,24.42,0.47,,15.31,16.96,2.73,15.58,17.26,2.78,,58783,6784,,0.16,0.11
139. [EJ],WT:TOC1,,,22.52,0.5,,23.74,17.44,3.23,22.28,16.36,3.03,,40065,6721,,0.28,0.17
140. [EK],WT:TOC1,,,24.59,0.77,,14.5,16.81,4.47,14.86,17.22,4.58,,42634,7785,,0.28,0.18
141. [EL],WT:TOC1,,,24.07,1.1,,16.91,17.19,6.45,16.96,17.24,6.47,,46227,12265,,0.41,0.27
142. [EM],WT:TOC1,,,22.87,0.42,,22.57,17.83,2.66,21.51,16.99,2.53,,19528,2806,,0.23,0.14
143. [EN],WT:TOC1,,,22.28,0.76,,1.9,18.48,5.23,1.76,17.16,4.85,,6920,1785,,0.31,0.26
